id_categories,_class,id,title,type
73a5bac7-d3ae-4dba-97fe-7d18baaf37a7_48_276,course_subcategory,224,Sức khỏe tổng quát,subcategory
73a5bac7-d3ae-4dba-97fe-7d18baaf37a7_48_276,course_subcategory,226,Thể thao,subcategory
73a5bac7-d3ae-4dba-97fe-7d18baaf37a7_48_276,course_subcategory,228,Dinh dưỡng & Ăn kiêng,subcategory
73a5bac7-d3ae-4dba-97fe-7d18baaf37a7_48_276,course_subcategory,230,Yoga,subcategory
73a5bac7-d3ae-4dba-97fe-7d18baaf37a7_48_276,course_subcategory,232,Sức khỏe tinh thần,subcategory
73a5bac7-d3ae-4dba-97fe-7d18baaf37a7_48_276,course_subcategory,236,Võ thuật & Tự vệ,subcategory
73a5bac7-d3ae-4dba-97fe-7d18baaf37a7_48_276,course_subcategory,238,An toàn & Sơ cứu,subcategory
73a5bac7-d3ae-4dba-97fe-7d18baaf37a7_48_276,course_subcategory,240,Khiêu vũ,subcategory
73a5bac7-d3ae-4dba-97fe-7d18baaf37a7_48_276,course_subcategory,242,Thiền định,subcategory
73a5bac7-d3ae-4dba-97fe-7d18baaf37a7_48_276,course_subcategory,244,Sức khỏe & Thể dục khác,subcategory
fc32da47-4825-4822-bd70-23f6036044a1_48_278,course_subcategory,296,Nhạc cụ,subcategory
fc32da47-4825-4822-bd70-23f6036044a1_48_278,course_subcategory,298,Sản xuất nhạc,subcategory
fc32da47-4825-4822-bd70-23f6036044a1_48_278,course_subcategory,300,Nguyên tắc cơ bản về âm nhạc,subcategory
fc32da47-4825-4822-bd70-23f6036044a1_48_278,course_subcategory,302,Thanh nhạc,subcategory
fc32da47-4825-4822-bd70-23f6036044a1_48_278,course_subcategory,304,Kỹ thuật âm nhạc,subcategory
fc32da47-4825-4822-bd70-23f6036044a1_48_278,course_subcategory,306,Phần mềm âm nhạc,subcategory
fc32da47-4825-4822-bd70-23f6036044a1_48_278,course_subcategory,308,Âm nhạc khác,subcategory
c17bc8c9-1e7a-4092-9753-2a3786095793_48_300,course_subcategory,366,Kỹ thuật,subcategory
c17bc8c9-1e7a-4092-9753-2a3786095793_48_300,course_subcategory,380,Nhân văn,subcategory
c17bc8c9-1e7a-4092-9753-2a3786095793_48_300,course_subcategory,310,Toán học,subcategory
c17bc8c9-1e7a-4092-9753-2a3786095793_48_300,course_subcategory,312,Khoa học,subcategory
c17bc8c9-1e7a-4092-9753-2a3786095793_48_300,course_subcategory,523,Giáo dục online,subcategory
c17bc8c9-1e7a-4092-9753-2a3786095793_48_300,course_subcategory,376,Khoa học xã hội,subcategory
c17bc8c9-1e7a-4092-9753-2a3786095793_48_300,course_subcategory,521,Học ngôn ngữ,subcategory
c17bc8c9-1e7a-4092-9753-2a3786095793_48_300,course_subcategory,527,Đào tạo giảng viên,subcategory
c17bc8c9-1e7a-4092-9753-2a3786095793_48_300,course_subcategory,529,Luyện thi,subcategory
c17bc8c9-1e7a-4092-9753-2a3786095793_48_300,course_subcategory,525,Giảng dạy & học thuật khác,subcategory
